clave;es;en;fr;
log.mulliganRival;Mulligan de {jugador} — devuelve las cartas que no quieras y confirma;{jugador} mulligan — return the cards you don't want and confirm;Mulligan de {jugador} — retourne les cartes que tu ne veux pas et confirme;
log.partidaIniciada;¡Partida iniciada! Saca {jugador};Game started! {jugador} serves;Partie lancée ! {jugador} sert;
log.pierdePartida;{jugador} no tiene cartas en su mazo de puntos. ¡Ha perdido el partido!;{jugador} has no cards in their point deck. They have lost the match!;{jugador} n'a plus de cartes dans son deck de points. Il a perdu le match !;
log.pierdeUnPunto;{jugador} pierde un punto y roba una carta de su mazo de puntos. Le quedan {cantidad};{jugador} loses a point and draws a card from their point deck. {cantidad} remaining;{jugador} perd un point et pioche une carte de son deck de points. Il en reste {cantidad};
log.cartaDevuelta;{carta} devuelta al mazo;{carta} returned to the deck;{carta} remise dans le deck;
log.concedePunto;{jugador} concede el punto;{jugador} concedes the point;{jugador} concède le point;
log.efectoActivo;Efecto activo: {tipo};Active effect: {tipo};Effet actif : {tipo};
log.potenciarReceptor;Efecto potenciar receptor: +{valor} a la recepción de {carta};Receiver boost effect: +{valor} to {carta} reception;Effet boost receveur : +{valor} à la réception de {carta};
log.potenciarColocador;Efecto potenciar colocador: +{valor} al pase de {carta};Setter boost effect: +{valor} to {carta} set;Effet boost passeur : +{valor} à la passe de {carta};
log.potenciarRematador;Efecto potenciar rematador: +{valor} al remate de {carta};Spiker boost effect: +{valor} to {carta} spike;Effet boost attaquant : +{valor} à l'attaque de {carta};
log.potenciarReceptorEscuela;Efecto activo: receptores{escuela} tendrán +{valor} a la recepción;Active effect: receivers{escuela} get +{valor} to reception;Effet actif : receveurs{escuela} auront +{valor} à la réception;
log.potenciarColocadorEscuela;Efecto activo: colocadores{escuela} tendrán +{valor} al pase;Active effect: setters{escuela} get +{valor} to set;Effet actif : passeurs{escuela} auront +{valor} à la passe;
log.potenciarRematadorEscuela;Efecto activo: rematadores{escuela} tendrán +{valor} al remate;Active effect: spikers{escuela} get +{valor} to spike;Effet actif : attaquants{escuela} auront +{valor} à l'attaque;
log.potenciarPersonajeActivo;Efecto activo: {nombre} tendrá +{valor} en {zona} este turno;Active effect: {nombre} will get +{valor} to {zona} this turn;Effet actif : {nombre} aura +{valor} en {zona} ce tour;
log.potenciarPersonaje;Efecto: +{valor} en {zona} de {nombre};Effect: +{valor} to {zona} for {nombre};Effet : +{valor} en {zona} pour {nombre};
log.ataqueAumentado;+{valor} al ataque;+{valor} to attack;+{valor} à l'attaque;
log.defensaAumentada;+{valor} a la defensa;+{valor} to defense;+{valor} à la défense;
log.ataqueReducido;-{valor} al ataque del rival;-{valor} to rival attack;-{valor} à l'attaque du rival;
log.efectoDebilitarReceptor;Efecto: -{valor} a la recepción de {carta};Effect: -{valor} to {carta} reception;Effet : -{valor} à la réception de {carta};
log.efectoDebilitarColocador;Efecto colocador debilitado: -{valor} al pase de {carta};Effect weakened setter: -{valor} to {carta} set;Effet passeur affaibli : -{valor} à la passe de {carta};
log.efectoDebilitarRematador;Efecto rematador debilitado: -{valor} al remate de {carta};Effect weakened spiker: -{valor} to {carta} spike;Effet attaquant affaibli : -{valor} à l'attaque de {carta};
log.efectoDebilitarBloqueo;Efecto: -{valor} al bloqueo de {carta};Effect: -{valor} to {carta} block;Effet : -{valor} au bloc de {carta};
log.debilitarRematadorActivo;Efecto activo: el próximo rematador rival tendrá -{valor} al remate;Active effect: next rival spiker will have -{valor} to spike;Effet actif : le prochain attaquant rival aura -{valor} à l'attaque;
log.debilitarColocadorActivo;Efecto activo: el próximo colocador rival tendrá -{valor} al pase;Active effect: next rival setter will have -{valor} to set;Effet actif : le prochain passeur rival aura -{valor} à la passe;
log.debilitarReceptorActivo;Efecto activo: el próximo receptor rival tendrá -{valor} a la recepción;Active effect: next rival receiver will have -{valor} to reception;Effet actif : le prochain receveur rival aura -{valor} à la réception;
log.debilitarBloqueadorCentralActivo;Efecto activo: el próximo bloqueador central rival tendrá -{valor} al bloqueo;Active effect: next rival central blocker will have -{valor} to block;Effet actif : le prochain bloqueur central rival aura -{valor} au bloc;
log.efectoTendo;Efecto Tendo: el rival robará 1 carta cada vez que añadas una carta a tu mano;Tendo effect: rival draws 1 card each time you add a card to your hand;Effet Tendo : le rival pioche 1 carte chaque fois que tu ajoutes une carte à ta main;
log.blockoutActivo;Efecto activo: los bloqueadores rivales con bloqueo igual o menor a {valor} irán al trash;Active effect: rival blockers with block equal or less than {valor} go to discard;Effet actif : les bloqueurs rivaux avec bloc inférieur ou égal à {valor} vont à la défausse;
log.blockout;Blockout: {carta} tiene bloqueo igual o menor a {valor} y va al trash;Blockout: {carta} has block equal or less than {valor} and goes to discard;Blockout : {carta} a un bloc inférieur ou égal à {valor} et va à la défausse;
log.blockoutApoyoActivo;Efecto activo: el primer bloqueador de apoyo rival irá directamente al trash;Active effect: the first rival support blocker will go directly to discard;Effet actif : le premier bloqueur de soutien rival ira directement à la défausse;
log.blockoutApoyo;Blockout de apoyo: {carta} va directamente al trash;Support blockout: {carta} goes directly to discard;Blockout de soutien : {carta} va directement à la défausse;
log.efectoBloqueoOfensivo;Efecto de Bloqueo Ofensivo ({valor}): si el bloqueo es exitoso el contraataque tendrá una potencia de {valor};Offensive Block ({valor}) effect: if block is successful the counterattack will have a power of {valor};Effet Bloc Offensif ({valor}) : si le bloc est réussi le contre-attaque aura une puissance de {valor};
log.anularBloqueadorCentralActivo;Efecto activo: el bloqueador central rival tendrá su bloqueo anulado;Active effect: rival central blocker will have their block nullified;Effet actif : le bloqueur central rival aura son bloc annulé;
log.anularBloqueadorCentral;Efecto activo: bloqueo del bloqueador central anulado;Active effect: central blocker block nullified;Effet actif : bloc du bloqueur central annulé;
log.anularHabilidadPersonajeActivo;Efecto activo: la habilidad de {carta} queda anulada este turno;Active effect: {carta} ability is nullified this turn;Effet actif : la capacité de {carta} est annulée ce tour;
log.anularHabilidadPersonaje;La habilidad de {carta} está anulada este turno;{carta} ability is nullified this turn;La capacité de {carta} est annulée ce tour;
log.negarBloqueadoresApoyoActivo;Efecto activo: el rival solo podrá colocar el bloqueador central este turno;Active effect: rival can only place the central blocker this turn;Effet actif : le rival ne peut placer que le bloqueur central ce tour;
log.negarBloqueadoresApoyo;No puedes colocar bloqueadores de apoyo este turno;You cannot place support blockers this turn;Tu ne peux pas placer de bloqueurs de soutien ce tour;
log.negarReceptorAltoActivo;Efecto activo: el rival no podrá colocar un receptor con recepción original de 6 o más;Active effect: rival cannot place a receiver with base reception of 6 or more;Effet actif : le rival ne pourra pas placer un receveur avec réception de base de 6 ou plus;
log.negarReceptorAlto;No puedes colocar un receptor con recepción de 6 o más este turno;You cannot place a receiver with reception of 6 or more this turn;Tu ne peux pas placer un receveur avec réception de 6 ou plus ce tour;
log.negarColocadorActivo;Efecto activo: el rival no podrá colocar un colocador el próximo turno;Active effect: rival cannot place a setter next turn;Effet actif : le rival ne pourra pas placer un passeur au prochain tour;
log.negarColocador;No puedes colocar un colocador este turno;You cannot place a setter this turn;Tu ne peux pas placer un passeur ce tour;
log.negarRematadorMBActivo;Efecto activo: el rival no podrá usar un MB como rematador el próximo turno;Active effect: rival cannot use a MB as spiker next turn;Effet actif : le rival ne pourra pas utiliser un MB comme attaquant au prochain tour;
log.negarRematadorMB;No puedes usar un MB como rematador este turno;You cannot use a MB as spiker this turn;Tu ne peux pas utiliser un MB comme attaquant ce tour;
log.negarBloqueadorMBActivo;Efecto activo: el rival no podrá colocar un bloqueador MB desde la mano el próximo turno;Active effect: rival cannot place a MB blocker from hand next turn;Effet actif : le rival ne pourra pas placer un bloqueur MB depuis la main au prochain tour;
log.negarBloqueadorMB;No puedes colocar un bloqueador MB desde la mano este turno;You cannot place a MB blocker from hand this turn;Tu ne peux pas placer un bloqueur MB depuis la main ce tour;
log.negarOneTouchActivo;Efecto activo: el rival no podrá usar One Touch en su próximo bloqueo;Active effect: rival cannot use One Touch in their next block;Effet actif : le rival ne pourra pas utiliser One Touch dans son prochain bloc;
log.negarOneTouch;One Touch negado por habilidad del rival;One Touch negated by rival ability;One Touch annulé par la capacité du rival;
log.negarCartaDesdeManoActivo;Efecto activo: el rival no podrá usar habilidades desde la mano en {fases};Active effect: rival cannot use hand abilities in {fases};Effet actif : le rival ne pourra pas utiliser de capacités depuis la main en {fases};
log.negarCartaDesdeMano;No puedes usar habilidades desde la mano en {fases};You cannot use hand abilities in {fases};Tu ne peux pas utiliser de capacités depuis la main en {fases};
log.negarEventosActivo;Efecto activo: el rival no podrá jugar eventos de {fase};Active effect: rival cannot play {fase} events;Effet actif : le rival ne pourra pas jouer d'événements de {fase};
log.negarEventos;No puedes jugar eventos de {fase} este turno;You cannot play {fase} events this turn;Tu ne peux pas jouer d'événements de {fase} ce tour;
log.negarRobar;Efecto activo: {jugador} no puede robar cartas por habilidad este turno;Active effect: {jugador} cannot draw cards by ability this turn;Effet actif : {jugador} ne peut pas piocher de cartes par capacité ce tour;
log.anularHabilidadReceptorActivo;Efecto activo: el siguiente receptor rival no podrá usar su habilidad;Active effect: next rival receiver cannot use their ability;Effet actif : le prochain receveur rival ne pourra pas utiliser sa capacité;
log.anularHabilidadReceptor;El receptor no puede usar su habilidad este turno;The receiver cannot use their ability this turn;Le receveur ne peut pas utiliser sa capacité ce tour;
log.anularHabilidadColocador;Efecto activo: el colocador no puede usar su habilidad;Active effect: setter cannot use their ability;Effet actif : le passeur ne peut pas utiliser sa capacité;
log.limitarBloqueadoresActivo;Efecto activo: el rival solo podrá colocar hasta {max} bloqueadores;Active effect: rival can only place up to {max} blockers;Effet actif : le rival ne pourra placer que {max} bloqueurs;
log.limitarBloqueadores;No puedes colocar más de {max} bloqueadores este turno;You cannot place more than {max} blockers this turn;Tu ne peux pas placer plus de {max} bloqueurs ce tour;
log.maximoBloqueadores;Máximo 2 bloqueadores de apoyo;Maximum 2 support blockers;Maximum 2 bloqueurs de soutien;
log.bloqueoMinimoActivo;Efecto activo: el bloqueo rival fallará si su defensa total es {valor} o menos;Active effect: rival block will fail if total defense is {valor} or less;Effet actif : le bloc rival échouera si la défense totale est {valor} ou moins;
log.bloqueoMinimo;Efecto de bloqueo mínimo: bloqueo insuficiente forzado;Minimum block effect: insufficient block forced;Effet de bloc minimum : bloc insuffisant forcé;
log.oneTouch;One Touch ({valor}): -{valor} al ataque rival. Ataque actual: {ataque};One Touch ({valor}): -{valor} to rival attack. Current attack: {ataque};One Touch ({valor}) : -{valor} à l'attaque rivale. Attaque actuel : {ataque};
log.bloqueoOfensivo;Bloqueo ofensivo: el contraataque tiene potencia {valor};Offensive block: counterattack has power {valor};Bloc offensif : le contre-attaque a une puissance de {valor};
log.mazoPuntosPreparado;{jugador}: mazo de puntos preparado con 2 cartas;{jugador}: point deck prepared with 2 cards;{jugador} : deck de points préparé avec 2 cartes;
log.cartaColocadaEn;{jugador} juega a {carta} en {zona} ({stat});{jugador} plays {carta} in {zona} ({stat});{jugador} joue {carta} en {zona} ({stat});
log.cartaColocadaBloqueo;{jugador} juega a {carta} como {tipo} ({stat}) ;{jugador} plays {carta} as {tipo} ({stat}) ;{jugador} joue {carta} en tant que {tipo} ({stat});
log.bloqueadorCentral;Bloqueador central;Central blocker;Bloqueur central;
log.apoyoBloqueo;Bloqueo de apoyo;Support blocker;Bloqueur de soutien;
log.soloDesdeMano;Esta carta solo puede usar su habilidad desde la mano;This card can only use its ability from hand;Cette carte ne peut utiliser sa capacité que depuis la main;
log.noHabilidadMano;Esta carta no tiene habilidad de mano;This card has no hand ability;Cette carte n'a pas de capacité depuis la main;
log.noHabilidadEnFase;No puedes usar esta habilidad en fase de {zona};You cannot use this ability in {zona} phase;Tu ne peux pas utiliser cette capacité en phase {zona};
log.finta;Finta: el ataque queda fijado en {valor}. Se salta la fase de bloqueo;Feint: attack is set to {valor}. Block phase is skipped;Feinte : l'attaque est fixée à {valor}. La phase de bloc est ignorée;
log.robarCuandoRival;El rival roba 1 carta por efecto;Rival draws 1 card by effect;Le rival pioche 1 carte par effet;
log.robarCuandoRivalActivo;Efecto activo: el rival robará 1 carta cada vez que añadas una carta a tu mano;Active effect: rival draws 1 card each time you add a card to your hand;Effet actif : le rival pioche 1 carte chaque fois que tu ajoutes une carte à ta main;
log.negarRobarActivo;Efecto activo: el rival no podrá robar cartas mediante habilidades el próximo turno;Active effect: rival cannot draw cards through abilities next turn;Effet actif : le rival ne pourra pas piocher de cartes via des capacités au prochain tour;
log.sinCartasValidas;No hay cartas válidas en la búsqueda;No valid cards found;Aucune carte valide trouvée;
log.esperandoDescarte;Esperando que el rival descarte una carta;Waiting for rival to discard a card;En attente que le rival se défausse d'une carte;
log.cartaColocadaComoRematador;{carta} colocado como rematador con +{valor} al remate;{carta} placed as spiker with +{valor} to spike;{carta} placé comme attaquant avec +{valor} à l'attaque;
log.habilidadActivada;Habilidad de {carta} activada;{carta} ability activated;Capacité de {carta} activée;
log.condicionNoCumplida;Condición no cumplida;Condition not met;Condition non remplie;
log.condicionCumplida;Condición adicional cumplida. Efecto activado;Additional condition met. Effect activated;Condition supplémentaire remplie. Effet activé;
log.descartaDesdeMano;{jugador} descarta {carta} desde la mano para activar su habilidad;{jugador} discards {carta} from hand to activate their ability;{jugador} se défausse de {carta} depuis la main pour activer sa capacité;
log.cartaDescartadaCoste;{carta} descartada como coste;{carta} discarded as cost;{carta} défaussée comme coût;
log.cartaRevelada;Carta revelada: {carta};Card revealed: {carta};Carte révélée : {carta};
log.cartaReveladaEscuela;Carta revelada: {carta} ({escuela});Card revealed: {carta} ({escuela});Carte révélée : {carta} ({escuela});
log.cartasAlFondoMazo;Cartas restantes enviadas al fondo del mazo;Remaining cards sent to the bottom of the deck;Cartes restantes envoyées au fond du deck;
log.motivar;Motivación: robas 1 carta extra por el punto del rival;Motivation: you draw 1 extra card from the rival's point;Motivation : tu pioches 1 carte supplémentaire grâce au point du rival;
log.motivarActivo;Efecto activo: si el rival pierde un punto en el siguiente turno, robas 1 carta extra;Active effect: if the rival loses a point next turn, you draw 1 extra card;Effet actif : si le rival perd un point au prochain tour, tu pioches 1 carte supplémentaire;
log.descartarCuandoRoboActivo;Efecto activo: el rival deberá descartar 1 carta cada vez que añada una carta a su mano por medios no estándar;Active effect: rival must discard 1 card each time they add a card to their hand by non-standard means;Effet actif : le rival devra se défausser d'1 carte chaque fois qu'il ajoute une carte à sa main par des moyens non standard;
log.personajeDoble;Personaje doble: carta tratada como {carta};Double character: card treated as {carta};Personnage double : carte traitée comme {carta};
log.cartasReveladas;Cartas reveladas: {cartas};Cards revealed: {cartas};Cartes révélées : {cartas};
log.elegirCartaOpcional;Elige una carta (opcional);Choose a card (optional);Choisissez une carte (optionnel);
log.elegirCarta;Elige una carta;Choose a card;Choisissez une carte;
log.elegirEnOrden;Elige en orden;Choose in order;Choisissez dans l'ordre;
log.sinCartasParaDescartar;No tienes cartas en la mano para descartar;No cards in hand to discard;Pas de cartes en main à défausser;
log.cartaAMano;{carta} añadida a la mano;{carta} added to hand;{carta} ajoutée à la main;
log.cartaDescartada;{carta} descartada de la mano;{carta} discarded from hand;{carta} défaussée de la main;
log.cartasDescartadasDelMazo;{cantidad} cartas enviadas al trash desde el mazo;{cantidad} cards sent to discard from deck;{cantidad} cartes envoyées à la défausse depuis le deck;
log.sinBloqueadorCentral;No hay bloqueadores. El ataque pasa sin bloqueo;No blockers. The attack passes without block;Pas de bloqueurs. L'attaque passe sans bloc;
log.rivalDescartaGuts;El rival se descarta de {valor} cartas de su GUTS de {zona};The rival discards {valor} cards from their {zona} GUTS;Le rival se défausse de {valor} cartes de son GUTS de {zona};
log.lanzamientoMoneda;Lanzamiento de moneda: sale {resultado};Coin flip: {resultado};Lancer de pièce : {resultado};
log.cara;cara;heads;face;
log.cruz;cruz;tails;pile;
log.cartaMovidaEntreGuts;{carta} movida del GUTS de {origen} al GUTS de {destino};{carta} moved from {origen} GUTS to {destino} GUTS;{carta} déplacée du GUTS de {origen} au GUTS de {destino};
log.activarHabilidad;Activar habilidad;Activate ability;Activer la capacité;
log.noActivar;No activar;Don't activate;Ne pas activer;
log.colocarArribaMazo;Colocar arriba del mazo;Place on top of the deck;Placer au-dessus du deck;
log.colocarFondoMazo;Colocar al fondo del mazo;Place at the bottom of the deck;Placer au fond du deck;
log.cartaArribaMazo;{carta} colocada arriba del mazo;{carta} placed on top of the deck;{carta} placée au-dessus du deck;
log.cartaAlFondoMazo;{carta} colocada al fondo del mazo;{carta} placed at the bottom of the deck;{carta} placée au fond du deck;
log.colocarEventoZona;Colocar 1 carta de evento de tu mano en tu zona de eventos;Place 1 event card from your hand in your event zone;Placer 1 carte événement de votre main dans votre zone d'événements;
log.noColocar;No colocar;Don't place;Ne pas placer;
log.eventoColocadoEnZona;{carta} colocado en la zona de eventos;{carta} placed in the event zone;{carta} placé dans la zone d'événements;
