id;nombre_es;nombre_en;nombre_fr;es;en ;fr
HV-D02-004;;;;Durante un bloqueo, una vez que jueges un bloqueador central, si esta carta está en tu zona de <strong><span style= color:#c62828>remate</span></strong>, puedes <strong>GUTS 2</strong> de tu zona de remate para desplazar esta carta como bloqueador de apoyo.;During a block, once you play a middle blocker, if this card is in your <strong><span style= color:#c62828>spike zone</span></strong>, you can <strong>GUTS - 2</strong> from your spike zone to move this card as a support blocker.;Pendant un contre, une fois que vous jouez un contreur central, si cette carte est dans votre <strong><span style= color:#c62828>zone d'attaque</span></strong>, vous pouvez <strong>GUTS - 2</strong> depuis votre zone d'attaque pour déplacer cette carte en tant que contreur de soutien.
HV-D02-009;;;;"<strong><span style=&quot;background:#1565c0; color:white; padding:1px 4px; border-radius:2px;&quot;>Recepción</span> GUTS 2</strong>: Roba 1 carta.";"<strong><span style=&quot;background:#1565c0; color:white; padding:1px 4px; border-radius:2px;&quot;>Reception</span> GUTS - 2</strong>: Draw 1 card.";"<strong><span style=&quot;background:#1565c0; color:white; padding:1px 4px; border-radius:2px;&quot;>Réception</span> GUTS - 2</strong> : Piochez 1 carte."
HV-D02-011;¡Las manos al frente, Lev!;Hands forward, Lev!;Les mains en avant, Lev !;"<strong><span style=&quot;background:#424242; color:white; padding:1px 4px; border-radius:2px;&quot;>Bloqueo</span></strong><strong><span style=&quot;background:#1565c0; color:white; padding:1px 4px; border-radius:2px;&quot;>Recepción</span></strong> Roba 1 carta. Elige: </br><strong>· +1 al bloqueo de Kuroo</strong> </br><strong>· +1 a la recepción</strong>.";"<strong><span style=&quot;background:#424242; color:white; padding:1px 4px; border-radius:2px;&quot;>Block</span></strong><strong><span style=&quot;background:#1565c0; color:white; padding:1px 4px; border-radius:2px;&quot;>Reception</span></strong> Draw 1 card. Choose: </br><strong>· +1 to Kuroo's block</strong> </br><strong>· +1 to reception</strong>.";"<strong><span style=&quot;background:#424242; color:white; padding:1px 4px; border-radius:2px;&quot;>Contre</span></strong><strong><span style=&quot;background:#1565c0; color:white; padding:1px 4px; border-radius:2px;&quot;>Réception</span></strong> Piochez 1 carte. Choisissez : </br><strong>· +1 au contre de Kuroo</strong> </br><strong>· +1 à la réception</strong>."
HV-D02-012;Basta con golpear físicamente, ¿verdad?;Just hit it physically, right?;Il suffit de frapper physiquement, non ?;Roba 1 carta. Después, mira las 3 primeras de tu mazo: si hay un <strong>Haiba Lev</strong> o un <strong>Inuoka So</strong>, puedes añadir 1 de ellos a tu mano. </br>Devuelve las otras cartas al fondo del mazo.;Draw 1 card. Then, look at the top 3 cards of your deck: if there is a <strong>Haiba Lev</strong> or an <strong>Inuoka So</strong>, you may add 1 of them to your hand. </br>Return the other cards to the bottom of the deck.;Piochez 1 carte. Ensuite, regardez les 3 premières cartes de votre deck : s'il y a un <strong>Haiba Lev</strong> ou un <strong>Inuoka So</strong>, vous pouvez en ajouter 1 à votre main. </br>Remettez les autres cartes au fond du deck.
HV-P01-002;;;;"<strong><span style=&quot;background:#c62828; color:white; padding:1px 4px; border-radius:2px;&quot;>Remate</span> GUTS 3</strong>: +4 al remate. El rival no podrá recibir con un jugador que tenga una recepción de base igual o superior a 6.";"<strong><span style=&quot;background:#c62828; color:white; padding:1px 4px; border-radius:2px;&quot;>Spike</span> GUTS - 3</strong>: +4 to the spike. The opponent cannot receive with a player whose base reception is 6 or higher.";"<strong><span style=&quot;background:#c62828; color:white; padding:1px 4px; border-radius:2px;&quot;>Attaque</span> GUTS - 3</strong> : +4 à l'attaque. L'adversaire ne pourra pas recevoir avec un joueur dont la réception de base est égale ou supérieure à 6."
HV-P01-003;;;;"<strong><span style=&quot;background:#c62828; color:white; padding:1px 4px; border-radius:2px;&quot;>Remate</span></strong> Si tienes 3 cartas o menos en tu mano y tu colocador ha sido <strong><span style= color:#2e7d32>Kageyama Tobio</span></strong>: +2 al remate. </br>El rival solo puede colocar <strong>2 bloqueadores</strong> en el próximo turno.";"<strong><span style=&quot;background:#c62828; color:white; padding:1px 4px; border-radius:2px;&quot;>Spike</span></strong> If you have 3 or fewer cards in your hand and your setter has been <strong><span style= color:#2e7d32>Kageyama Tobio</span></strong>: +2 to the spike. </br>The opponent can only place <strong>2 blockers</strong> on the next turn.";"<strong><span style=&quot;background:#c62828; color:white; padding:1px 4px; border-radius:2px;&quot;>Attaque</span></strong> Si vous avez 3 cartes ou moins en main et que votre passeur a été <strong><span style= color:#2e7d32>Kageyama Tobio</span></strong> : +2 à l'attaque. </br>L'adversaire ne peut placer que <strong>2 contreurs</strong> lors du prochain tour."
HV-P01-006;;;;"<strong><span style=&quot;background:#1565c0; color:white; padding:1px 4px; border-radius:2px;&quot;>Pase</span> GUTS 2</strong>: Revela la primera carta del mazo. Si es <strong><span style= color:#c62828>Hinata Shoyo</span></strong> o <strong><span style= color:#c62828>Ataque amplio</span></strong>, añádela a tu mano. Si no es el caso, envía la carta al fondo de tu mazo. Añade +2 al remate de esta jugada, si el rematador es <strong><span style= color:#c62828>Hinata Shoyo</span></strong>.";"<strong><span style=&quot;background:#1565c0; color:white; padding:1px 4px; border-radius:2px;&quot;>Set</span> GUTS - 2</strong>: Reveal the top card of the deck. If it is <strong><span style= color:#c62828>Hinata Shoyo</span></strong> or <strong><span style= color:#c62828>Wide attack</span></strong>, add it to your hand. If not, send the card to the bottom of your deck. Add +2 to the spike of this play, if the spiker is <strong><span style= color:#c62828>Hinata Shoyo</span></strong>.";"<strong><span style=&quot;background:#1565c0; color:white; padding:1px 4px; border-radius:2px;&quot;>Passe</span> GUTS - 2</strong> : Révélez la première carte du deck. S'il s'agit de <strong><span style= color:#c62828>Hinata Shoyo</span></strong> ou d'<strong><span style= color:#c62828>Attaque large</span></strong>, ajoutez-la à votre main. Sinon, envoyez la carte au fond de votre deck. Ajoutez +2 à l'attaque de cette action, si l'attaquant est <strong><span style= color:#c62828>Hinata Shoyo</span></strong>."
HV-P01-008;;;;"<strong><span style=&quot;background:#424242; color:white; padding:1px 4px; border-radius:2px;&quot;>Bloqueo</span> GUTS 2</strong>: Si hay un <strong>Yamaguchi Tadashi</strong> en tu campo, añade +2 al bloqueo. </br>Si el bloqueo es exitoso : </br><span style=&quot;background:#29b6f6; color:white; padding:1px 4px; border-radius:2px;&quot;><strong>Bloqueo ofensivo (6)</strong></span> : Devuelve un contraataque con potencia de 6.";"<strong><span style=&quot;background:#424242; color:white; padding:1px 4px; border-radius:2px;&quot;>Block</span> GUTS - 2</strong>: If there is a <strong>Yamaguchi Tadashi</strong> on your field, add +2 to the block. </br>If the block is successful: </br><span style=&quot;background:#29b6f6; color:white; padding:1px 4px; border-radius:2px;&quot;><strong>Offensive block (6)</strong></span>: Return a counterattack with power 6.";"<strong><span style=&quot;background:#424242; color:white; padding:1px 4px; border-radius:2px;&quot;>Contre</span> GUTS - 2</strong> : S'il y a un <strong>Yamaguchi Tadashi</strong> sur votre terrain, ajoutez +2 au contre. </br>Si le contre réussit : </br><span style=&quot;background:#29b6f6; color:white; padding:1px 4px; border-radius:2px;&quot;><strong>Contre offensif (6)</strong></span> : Renvoyez une contre-attaque avec une puissance de 6."
HV-P01-010;;;;"<strong><span style=&quot;background:#e65100; color:white; padding:1px 4px; border-radius:2px;&quot;>Saque</span></strong> Revela la carta superior de tu mazo. Si es de <strong>Karasuno</strong>, el próximo colocador rival tendrá <strong>-2 al pase</strong>. </br>Coloca la carta mostrada al fondo del mazo.";"<strong><span style=&quot;background:#e65100; color:white; padding:1px 4px; border-radius:2px;&quot;>Serve</span></strong> Reveal the top card of your deck. If it is from <strong>Karasuno</strong>, the opponent's next setter will have <strong>-2 to the set</strong>. </br>Place the revealed card at the bottom of the deck.";"<strong><span style=&quot;background:#e65100; color:white; padding:1px 4px; border-radius:2px;&quot;>Service</span></strong> Révélez la carte du dessus de votre deck. Si elle appartient à <strong>Karasuno</strong>, le prochain passeur adverse aura <strong>-2 à la passe</strong>. </br>Placez la carte révélée au fond du deck."
HV-P01-013;;;;"<strong><span style=&quot;background:#1565c0; color:white; padding:1px 4px; border-radius:2px;&quot;>Recepción</span> <span style=&quot;background:#6a1b9a; color:white; padding:1px 4px; border-radius:2px;&quot;>Desde la mano</span></strong> Descarta esta carta desde tu mano para añadir +2 a la recepción de un personaje de <strong>Karasuno</strong> en juego.";"<strong><span style=&quot;background:#1565c0; color:white; padding:1px 4px; border-radius:2px;&quot;>Reception</span> <span style=&quot;background:#6a1b9a; color:white; padding:1px 4px; border-radius:2px;&quot;>From hand</span></strong> Discard this card from your hand to add +2 to the reception of a <strong>Karasuno</strong> character in play.";"<strong><span style=&quot;background:#1565c0; color:white; padding:1px 4px; border-radius:2px;&quot;>Réception</span> <span style=&quot;background:#6a1b9a; color:white; padding:1px 4px; border-radius:2px;&quot;>Depuis la main</span></strong> Défaussez cette carte depuis votre main pour ajouter +2 à la réception d'un personnage de <strong>Karasuno</strong> en jeu."
HV-P01-015;;;;"<strong><span style=&quot;background:#2e7d32; color:white; padding:1px 4px; border-radius:2px;&quot;>Pase</span> GUTS 2</strong>: Roba 1 carta y +1 al pase.";"<strong><span style=&quot;background:#2e7d32; color:white; padding:1px 4px; border-radius:2px;&quot;>Set</span> GUTS - 2</strong>: Draw 1 card and +1 to the set.";"<strong><span style=&quot;background:#2e7d32; color:white; padding:1px 4px; border-radius:2px;&quot;>Passe</span> GUTS - 2</strong> : Piochez 1 carte et +1 à la passe."
HV-P01-016;;;;"<strong><span style=&quot;background:#c62828; color:white; padding:1px 4px; border-radius:2px;&quot;>Remate</span> GUTS 4</strong>: Si tu colocador es un <strong>colocador (S) de Karasuno</strong>, +2 al remate.";"<strong><span style=&quot;background:#c62828; color:white; padding:1px 4px; border-radius:2px;&quot;>Spike</span> GUTS - 4</strong>: If your setter is a <strong>Karasuno setter (S)</strong>, +2 to the spike.";"<strong><span style=&quot;background:#c62828; color:white; padding:1px 4px; border-radius:2px;&quot;>Attaque</span> GUTS - 4</strong> : Si votre passeur est un <strong>passeur (S) de Karasuno</strong>, +2 à l'attaque."
HV-P01-018;;;;"<strong><span style=&quot;background:#2e7d32; color:white; padding:1px 4px; border-radius:2px;&quot;>Pase</span> GUTS 3</strong>: +1 al pase. Si todos tus personajes en juego son de <strong>Nekoma</strong>, puedes añadir 1 carta de tu zona de eventos a tu mano.";"<strong><span style=&quot;background:#2e7d32; color:white; padding:1px 4px; border-radius:2px;&quot;>Set</span> GUTS - 3</strong>: +1 to the set. If all your characters in play are from <strong>Nekoma</strong>, you may add 1 card from your event zone to your hand.";"<strong><span style=&quot;background:#2e7d32; color:white; padding:1px 4px; border-radius:2px;&quot;>Passe</span> GUTS - 3</strong> : +1 à la passe. Si tous vos personnages en jeu sont de <strong>Nekoma</strong>, vous pouvez ajouter 1 carte de votre zone d'événements à votre main."
HV-P01-019;;;;"Si tu rematador esta jugada tiene un remate base de 3, puedes gastar <strong>GUTS 2</strong> de <strong><span style=&quot;color:#2e7d32&quot;>pase</span></strong> para traer un personaje de <strong>Nekoma</strong> del GUTS de remate y añadir <strong>+2</strong> a su remate.";"If your spiker this play has a base spike of 3, you can spend <strong>GUTS - 2</strong> from <strong><span style=&quot;color:#2e7d32&quot;>set</span></strong> to bring a <strong>Nekoma</strong> character from the spike GUTS and add <strong>+2</strong> to its spike.";"Si votre attaquant sur cette action a une attaque de base de 3, vous pouvez dépenser <strong>GUTS - 2</strong> de <strong><span style=&quot;color:#2e7d32&quot;>passe</span></strong> pour amener un personnage de <strong>Nekoma</strong> depuis le GUTS d'attaque et ajouter <strong>+2</strong> à son attaque."
HV-P01-021;;;;"<strong><span style=&quot;background:#c62828; color:white; padding:1px 4px; border-radius:2px;&quot;>Remate</span> GUTS 3</strong>: +3 al remate. Después, elige una zona de tu campo y añade a tu mano hasta 2 cartas de <strong>Nekoma</strong> del GUTS de esa zona con nombres distintos entre sí.";"<strong><span style=&quot;background:#c62828; color:white; padding:1px 4px; border-radius:2px;&quot;>Spike</span> GUTS - 3</strong>: +3 to the spike. Then, choose a zone on your field and add up to 2 <strong>Nekoma</strong> cards with different names from that zone's GUTS to your hand.";"<strong><span style=&quot;background:#c62828; color:white; padding:1px 4px; border-radius:2px;&quot;>Attaque</span> GUTS - 3</strong> : +3 à l'attaque. Ensuite, choisissez une zone de votre terrain et ajoutez à votre main jusqu'à 2 cartes de <strong>Nekoma</strong> du GUTS de cette zone ayant des noms différents entre elles."
HV-P01-023;;;;"Cuando coloques un personaje de <strong>Nekoma</strong> encima de esta carta en <strong><span style=&quot;color:#1565c0&quot;>recepción</span></strong>, puedes descartar 1 carta de <strong>Nekoma</strong> de tu mano para añadir +2 a su recepción.";"When you place a <strong>Nekoma</strong> character on top of this card in <strong><span style=&quot;color:#1565c0&quot;>reception</span></strong>, you may discard 1 <strong>Nekoma</strong> card from your hand to add +2 to its reception.";"Lorsque vous placez un personnage de <strong>Nekoma</strong> par-dessus cette carte en <strong><span style=&quot;color:#1565c0&quot;>réception</span></strong>, vous pouvez défausser 1 carte de <strong>Nekoma</strong> de votre main pour ajouter +2 à sa réception."
HV-P01-025;;;;"<strong><span style=&quot;background:#c62828; color:white; padding:1px 4px; border-radius:2px;&quot;>Remate</span> GUTS 2</strong>: </br>· Durante el próximo turno rival, cada bloqueador central que coloque tendrá <strong>-3 al bloqueo</strong>.</br>· Si esta carta fue traída por la habilidad de <strong><span style=&quot;color:#2e7d32&quot;>Kozume Kenma</span></strong>, +2 al remate.";"<strong><span style=&quot;background:#c62828; color:white; padding:1px 4px; border-radius:2px;&quot;>Spike</span> GUTS 2</strong>: </br>· During the opponent's next turn, each middle blocker they place will have <strong>-3 to the block</strong>.</br>· If this card was brought in by <strong><span style=&quot;color:#2e7d32&quot;>Kozume Kenma</span></strong>'s ability, +2 to the spike.";"<strong><span style=&quot;background:#c62828; color:white; padding:1px 4px; border-radius:2px;&quot;>Attaque</span> GUTS 2</strong> : </br>· Pendant le prochain tour adverse, chaque contreur central qu'il place aura <strong>-3 au contre</strong>.</br>· Si cette carte a été amenée par la capacité de <strong><span style=&quot;color:#2e7d32&quot;>Kozume Kenma</span></strong>, +2 à l'attaque."
HV-P01-028;;;;"Cuando coloques a <strong>Haiba Lev</strong> encima de esta carta en <strong><span style=&quot;color:#c62828&quot;>remate</span></strong>, puedes descartar 1 carta de <strong>Nekoma</strong> de tu mano para añadir +1 a su remate.";"When you place <strong>Haiba Lev</strong> on top of this card in <strong><span style=&quot;color:#c62828&quot;>spike</span></strong>, you may discard 1 <strong>Nekoma</strong> card from your hand to add +1 to its spike.";"Lorsque vous placez <strong>Haiba Lev</strong> par-dessus cette carte en <strong><span style=&quot;color:#c62828&quot;>attaque</span></strong>, vous pouvez défausser 1 carte de <strong>Nekoma</strong> de votre main pour ajouter +1 à son attaque."
HV-P01-031;;;;"<strong><span style=&quot;background:#1565c0; color:white; padding:1px 4px; border-radius:2px;&quot;>Recepción</span> <span style=&quot;background:#6a1b9a; color:white; padding:1px 4px; border-radius:2px;&quot;>Desde la mano</span></strong> Descarta esta carta desde tu mano para añadir +2 a la recepción de un personaje de <strong>Nekoma</strong> en juego.";"<strong><span style=&quot;background:#1565c0; color:white; padding:1px 4px; border-radius:2px;&quot;>Reception</span> <span style=&quot;background:#6a1b9a; color:white; padding:1px 4px; border-radius:2px;&quot;>From hand</span></strong> Discard this card from your hand to add +2 to the reception of a <strong>Nekoma</strong> character in play.";"<strong><span style=&quot;background:#1565c0; color:white; padding:1px 4px; border-radius:2px;&quot;>Réception</span> <span style=&quot;background:#6a1b9a; color:white; padding:1px 4px; border-radius:2px;&quot;>Depuis la main</span></strong> Défaussez cette carte depuis votre main pour ajouter +2 à la réception d'un personnage de <strong>Nekoma</strong> en jeu."
HV-P01-032;;;;"<strong><span style=&quot;background:#e65100; color:white; padding:1px 4px; border-radius:2px;&quot;>Saque</span></strong> Durante el próximo turno rival, las habilidades del <strong>receptor</strong> y del <strong>colocador</strong> quedan anuladas.";"<strong><span style=&quot;background:#e65100; color:white; padding:1px 4px; border-radius:2px;&quot;>Serve</span></strong> During the opponent's next turn, the abilities of the <strong>receiver</strong> and the <strong>setter</strong> are nullified.";"<strong><span style=&quot;background:#e65100; color:white; padding:1px 4px; border-radius:2px;&quot;>Service</span></strong> Pendant le prochain tour adverse, les capacités du <strong>réceptionneur</strong> et du <strong>passeur</strong> sont annulées."
HV-P01-033;;;;"<strong><span style=&quot;background:#e65100; color:white; padding:1px 4px; border-radius:2px;&quot;>Saque</span> <span style=&quot;background:#2e7d32; color:white; padding:1px 4px; border-radius:2px;&quot;>Pase</span></strong> Descarta 1 carta de <strong>Aoba Jôsai</strong> de tu mano para +1 al saque o al pase. Si el rival tiene 4 o más cartas en la mano, debe descartar 1 carta de su mano.";"<strong><span style=&quot;background:#e65100; color:white; padding:1px 4px; border-radius:2px;&quot;>Serve</span> <span style=&quot;background:#2e7d32; color:white; padding:1px 4px; border-radius:2px;&quot;>Set</span></strong> Discard 1 <strong>Aoba Jôsai</strong> card from your hand for +1 to the serve or the set. If the opponent has 4 or more cards in hand, they must discard 1 card from their hand.";"<strong><span style=&quot;background:#e65100; color:white; padding:1px 4px; border-radius:2px;&quot;>Service</span> <span style=&quot;background:#2e7d32; color:white; padding:1px 4px; border-radius:2px;&quot;>Passe</span></strong> Défaussez 1 carte d'<strong>Aoba Jôsai</strong> de votre main pour +1 au service ou à la passe. Si l'adversaire a 4 cartes ou plus en main, il doit défausser 1 carte de sa main."
HV-P01-034;;;;"<strong><span style=&quot;background:#e65100; color:white; padding:1px 4px; border-radius:2px;&quot;>Saque</span> GUTS 1</strong>: Si la carta descartada es de <strong>Aoba Jôsai</strong>, el rival devuelve todas las cartas de su mano al mazo, baraja y roba 6 cartas.";"<strong><span style=&quot;background:#e65100; color:white; padding:1px 4px; border-radius:2px;&quot;>Serve</span> GUTS 1</strong>: If the discarded card is from <strong>Aoba Jôsai</strong>, the opponent returns all cards from their hand to the deck, shuffles, and draws 6 cards.";"<strong><span style=&quot;background:#e65100; color:white; padding:1px 4px; border-radius:2px;&quot;>Service</span> GUTS 1</strong> : Si la carte défaussée appartient à <strong>Aoba Jôsai</strong>, l'adversaire remet toutes les cartes de sa main dans le deck, mélange et pioche 6 cartes."
HV-P01-035;;;;"<strong><span style=&quot;background:#c62828; color:white; padding:1px 4px; border-radius:2px;&quot;>Remate</span></strong> Descarta 1 carta de <strong>Aoba Jôsai</strong> de tu mano para +2 al remate. </br>Si el rival tiene 4 o menos cartas en la mano, durante el próximo turno rival no podrá robar cartas mediante habilidades.";"<strong><span style=&quot;background:#c62828; color:white; padding:1px 4px; border-radius:2px;&quot;>Spike</span></strong> Discard 1 <strong>Aoba Jôsai</strong> card from your hand for +2 to the spike. </br>If the opponent has 4 or fewer cards in hand, during their next turn they cannot draw cards through abilities.";"<strong><span style=&quot;background:#c62828; color:white; padding:1px 4px; border-radius:2px;&quot;>Attaque</span></strong> Défaussez 1 carte d'<strong>Aoba Jôsai</strong> de votre main pour +2 à l'attaque. </br>Si l'adversaire a 4 cartes ou moins en main, il ne pourra pas piocher de cartes grâce à des capacités pendant son prochain tour."
HV-P01-037;;;;"<strong><span style=&quot;background:#424242; color:white; padding:1px 4px; border-radius:2px;&quot;>Bloqueo</span> GUTS 1</strong>: Solo puedes usar esta habilidad si el ataque del rival es 8 o más. Termina inmediatamente la fase de bloqueo y pasa a recepción. Durante este turno, si tu receptor es del <strong>Aoba Jôsai</strong> tendrá <strong>+3 a la recepción</strong>.";"<strong><span style=&quot;background:#424242; color:white; padding:1px 4px; border-radius:2px;&quot;>Block</span> GUTS 1</strong>: You may only use this ability if the opponent's attack is 8 or higher. Immediately end the block phase and move to reception. During this turn, if your receiver is from <strong>Aoba Jôsai</strong> they will have <strong>+3 to the reception</strong>.";"<strong><span style=&quot;background:#424242; color:white; padding:1px 4px; border-radius:2px;&quot;>Contre</span> GUTS 1</strong> : Vous ne pouvez utiliser cette capacité que si l'attaque adverse est de 8 ou plus. Terminez immédiatement la phase de contre et passez à la réception. Pendant ce tour, si votre réceptionneur est de l'<strong>Aoba Jôsai</strong>, il aura <strong>+3 à la réception</strong>."
HV-P01-039;;;;"<strong><span style=&quot;background:#1565c0; color:white; padding:1px 4px; border-radius:2px;&quot;>Recepción</span></strong> Solo puedes usar esta habilidad si el ataque del rival es 6 o más. Descarta 1 carta de <strong>Aoba Jôsai</strong> de tu mano para +1 a la recepción. </br>Si todos tus personajes en juego son de <strong>Aoba Jôsai</strong>, roba 1 carta.";"<strong><span style=&quot;background:#1565c0; color:white; padding:1px 4px; border-radius:2px;&quot;>Reception</span></strong> You may only use this ability if the opponent's attack is 6 or higher. Discard 1 <strong>Aoba Jôsai</strong> card from your hand for +1 to the reception. </br>If all your characters in play are from <strong>Aoba Jôsai</strong>, draw 1 card.";"<strong><span style=&quot;background:#1565c0; color:white; padding:1px 4px; border-radius:2px;&quot;>Réception</span></strong> Vous ne pouvez utiliser cette capacité que si l'attaque adverse est de 6 ou plus. Défaussez 1 carte d'<strong>Aoba Jôsai</strong> de votre main pour +1 à la réception. </br>Si tous vos personnages en jeu sont de l'<strong>Aoba Jôsai</strong>, piochez 1 carte."
